Tweet,Sentiment,Score
"Why Some People Are Against Me” – Presidential Candidate Of Labour Party, Mr Peter Obi https://t.co/MusOnkYVRb",NEUTRAL,0.0
"It might interest all actors who are on this plan to note that the plan is dead on arrival and Igbo’s and Nigerian youths at large will resist the plan with our blood. 

Tambuwal #VawulenceSpace #PVCcenter Akanbi Okowa Peter Obi Wike G5 Governors Tinubu Labour Party Peter Obi",POSITIVO,0.007142857142857131
"@TheConservati19 @PeterDutton_MP Peter Dutton should maintain a neutral stance  upping the pressure on Albo to come clean by asking everyday for details from the labour party for the necessary details and equal financial support for both sides of the referendum
Exactly as every other referendum has been funded",POSITIVO,0.04166666666666667
SOLUDO ZUKWANU IKE. ARE YOU FOR US OR YOU ARE AGAINST US? NO TO POLITICAL GODFATHER IN NIGERIA BECAUSE IT IS FOR CORRUPT POLITICIANS. VOTE FOR PETER OBI LABOUR PARTY https://t.co/JRejqvHPuV,NEGATIVO,-0.25
"@GWiseTime @JSDavies7 @OfficialPDPNig @NgLabour @PeterObi @YunusaTanko @AishaYesufu Simple solution, put ATIKU as VP and Peter Obi for president and Labour party Logo. Distribute it too and let see what they will say.",NEUTRAL,0.0
ARTHUR EZE ZUKWANU IKE. NO TO POLITICAL GODFATHER IN NIGERIA BECAUSE IT IS FOR CORRUPT POLITICIANS. VOTE FOR PETER OBI LABOUR PARTY. JOIN US ON YOUTUBE@LADY P OFFICIAL.  WE LOVE YOU ❤️ ❤️ ❤️ https://t.co/fbM4kQSuEl,NEUTRAL,0.0
"2023 Presidential Election : Peter Obi Explains Why Some People Are Against His Ambition
The presidential candidate of Labour Party, Mr Peter Obi, has said that there will be…

https://t.co/NXtSKQxh2o

Catholics Marcus Free Thug Al Nassr Piers Tambuwal Wike",POSITIVO,0.4
"Francis Ezenwa, senator representing Imo east defected from the Peoples Democratic Party (PDP) to the Labour Party (LP).

The other is senator Victor Umeh.

Valentine Ozigbo

Everyday they tell you that there's no prominent politician supporting Peter Obi. https://t.co/dMbP4tjFFy",NEGATIVO,-0.08124999999999999
"Nigeria can be great again. 

Join Mr. Peter Obi to make that happen, come 2023, when you vote for the Labour Party at the Presidential elections.",POSITIVO,0.8
"If Peter Obi can turn Labour Party into a formidable force in 6 months. He can turn this country around in 4 years

Go and get your PVC",NEUTRAL,0.0
@Usmansyamma Peter obi for labour party,NEUTRAL,0.0
Finally a new year resolution I can keep. My new year resolution is to vote for Peter Obi in Labour Party ( LP ).,POSITIVO,0.13636363636363635
"@JosephOnuorah @Chizara85255234 @Jack_ng01 @TakeBackNaija_ @PeterObi @NgLabour @omoelerinjare @IkukuomaC @Nkemchor_ @chude__ @YunusaTanko @ChigozieIAlex Party structure when them take de shere rice ,una don give me rice before God punish all of una with your mumu structure, una give me anything during Covid? Una don give me anything before ? I am voting Peter Obi come and structure me  nonsense ingredient.",NEUTRAL,0.0
"Obi At Chimamanda Adichie’s  Chieftaincy Ceremony

The presidential candidate of the Labour Party, Peter Obi, attended the ceremony where Nigeria's award-winning writer, Chimamanda Adichie, was conferred with a chieftaincy title in her hometown, Abba, https://t.co/lcftxgoQqn",NEUTRAL,0.0
"Peter Obi is the candidate to fear. LP is the party to beat. 

#PeterObiForPresident",NEUTRAL,0.0
"@fkeyamo Well, I agree partially but a hitherto unpopular party will produce the next President of Nigeria, HE Peter Obi. That’s phenomenal!",POSITIVO,0.17500000000000002
"Why is people not testifying of the integrity of other frontline party candidates, because they do not have integrity. Peter Obi stands out and stands tall. Give him a shout out this new year.",POSITIVO,0.005681818181818177
"Dear Obidients just to remind you that we will be victorious come 2023
 Inshallah....🙏

Peter Obi  labour party https://t.co/tXW3BvmfTz",NEUTRAL,0.0
"PDP stop this , why are you guy’s posting Peter obi and Atiku , stop confusing people Peter obi is Labour Party not pdp https://t.co/lHfO4JpkVj",NEGATIVO,-0.3
"@channelstv Just curious though, there are a number of candidates and their different parties, but why are they always speaking about Peter and Labour Party? What's their fear though if he won't win or go nowhere? 🤷",POSITIVO,0.23333333333333336
@DrOkaforEmmanu1 That’s why your party is sharing bags of rice with Atiku &amp; Okowa’s names and Peter Obi’s picture? Nigerians are watching you all break the laws in so many ways! God’ll judge everyone of our actions and reward us accordingly in Jesus name! Amen!!!,POSITIVO,1.0
"@PeterObi With the level of persons collecting their PVC’s in my locality(a North Central Region) I believe that the person and party they claim that has no structure is truly the people’s choice.
❤️❤️❤️❤️❤️

Kindly follow me for more updates from the North Central Region for PETER OBI https://t.co/DsRBqSzh6K",POSITIVO,0.275
@_weyimi @FS_Yusuf_ @IkukuomaC @UchePOkoye @urchilla01 @Nkemchor_ @VictorIsrael_ @Spotlight_Abby @AfamDeluxo @chude__ @SheikhAnalo Fidifi is a very deceptive party. I thought they said Peter Obi is not a threat? What is all this?,POSITIVO,0.2
@AyoOmolagba2 @biafrasurvival @simon_ekpa @cnni @BBCAfrica @AlJazeeraWorld @FRANCE24 @AyoOmolagba2  did you know about the Abuja declaration of 1989? Did you know that it was LABOUR PARTY that instigated the Biafra genocidal war ? Did you know why Peter obi decamp to Labour party after visiting 10 downing Street? He's trying to protect his business empire,NEUTRAL,0.0
"@PeterStefanovi2 Are you advocating supporting the Labour Party Peter?
Surely not backing the child groomer protectors?
#sickening https://t.co/pS9POUopqR",NEGATIVO,-0.3
"Top story: @realgazakure: 'Labour Party HOR candidate to represent Lafia Obi Federal Constituency.
Agum Ali Akpandam attends a town hall meeting in Adogi were he met with his supporters in the grassroot. 

Peter Obi is … https://t.co/8kDbkXAuhH, see more https://t.co/oU2vQK2Sfs",POSITIVO,0.5
"To my APC PDP brothers, please change your heart to vote LP, LABOUR PARTY VOTE PETER OBI. https://t.co/Pc9ZXLxuHe",NEUTRAL,0.0
"“Peter Obi Is Our Enemy”, Attack Him But Leave LP New DG – Reno Omokri Appeals To Party Members https://t.co/Y7VYC8prxt",POSITIVO,0.13636363636363635
Don't ever be distracted by the games that APC and PDP are playing. Focus on the goal of having a new Nigeria by increasing your determination to fight by talking to more people about Peter Obi and the Labour Party.,POSITIVO,0.3181818181818182
"The reality is that  Peter obi can't win the presidential election

Labour party doesn't have the foundation and pedigree to win a presidential election

And I don't even trust the transparency of INEC

#ARSENAL #HappyNewYear #MUFC #AlchemyOfSouls2Ep7",POSITIVO,0.8
"Nothing will make me not to vote Peter Obi, the leading presidential candidate of labour party. Except Jesus Christ comes before the election day.",NEUTRAL,0.0
"@urchilla01 Is it possible for peter Obi to do a video wishing Nigerians happy New Year and Also acknowledge the OBIDENTs for their efforts&amp; encourage them to do more also encourage others to get their PVC.
Even labour party candidates across board can also do it in their local language",POSITIVO,0.2872727272727273
"PETER OBI of LABOUR PARTY presidential candidate is BEST among all,and his my choice so respect that while you are free to drown in ur Atlantic ocean of tribal and religious bigotry without a life jacket.. https://t.co/XOxuSM8YB2",POSITIVO,0.4666666666666666
"""Why Some People Are Against Me"" – Presidential Candidate Of Labour Party, Mr Peter Obi https://t.co/zd4gtNArWL",NEUTRAL,0.0
@Keir_Starmer ‘My’ Labour Party’,NEUTRAL,0.0
"Watch Triple A at the Last Super Event at Odubo, Obi LGA.

@AgumAkpandam is just the man to reckon with. His drive for good governance is unexceptional and Labour Party is blessed to have him on the ballot on the same day with Peter Obi.
#gazakure #tripleA #PeterObi https://t.co/Djd44rHbFU",POSITIVO,0.2583333333333333
"Happy New Year to all those people fighting for better Nigeria, the obedient family,as we all step into a progressive year 2023, remember to include Nigeria and labour party in your crossover prayers, because Nigeria shall be great again under the wash of Peter Obi.",POSITIVO,0.5272727272727273
"Let's agree Peter Obi &amp; Labour Party has no structure or can't win. Pls PDApc should tell their people to STOP attaking Obidients online &amp; offline, bcos they don't matter. Isn't this a logical statement? @NgLabour @OfficialPDPNig @OfficialAPCNg",POSITIVO,0.525
Atiku said it will take a miracle for Peter obi to win this election.his party is in shambles already and Peter obi is waxing stronger. That miracle is about to happen.,POSITIVO,0.8
"Peter Obi for President come 2023.

Nigeria must work again oh and Nigeria must change regardless of the monster 💀 trying to stop Nigeria from moving forward,we look forward to a new Nigeria vote Labour Party, vote Peter Obi for President come 2023.
Go get your PVC everyone. https://t.co/BXwOhW7amE",POSITIVO,0.13636363636363635
"The party without ""money bags"" is giving party with ""money bags"" sleepless nights.

Peter Obi is coming✌️🔥",NEUTRAL,0.0
@SaharaReporters I rather waste my vote and family votes on Peter Obi - Labour Party than APC and PDP,NEGATIVO,-0.2
"@adamugarba Where is BAT in all these pictures, we sane Yoruba youth knows your plan, Settima is running for president through BAT who is mere a placeholder. We will never vote for APC, our vote is for Peter Obi and Labour Party...",NEGATIVO,-0.5
"Somehow, I look back to 2019 and thank God PDP didn't win. Imagine what would have become of Peter Obi's image…

I think running as a VP on PDP in 2019 was riskier for his political career than running as President on Labour Party today.

Providence sha!",POSITIVO,0.26666666666666666
"Atiku,Ayu,tanbuwal,dino,dele momodu, Daniel bwalla,obaseki,ademola adeleke,saraki,dogara,olagunsoye oyinlola etc All changes party and are now controlling the structure of the party.

Vote LP VOTE PETER OBI",NEUTRAL,0.0
Vote for Peter Obi of the Labour Party for President,NEUTRAL,0.0
"Vote Labour Party, Vote for Peter Obi for President!",NEUTRAL,0.0
"@BUrNA2233 @BUrNA2233 you are very right
But let's be honest 
The Peter Obi movement is one that hasn't been seen before,even the APC campaign team considers the Labour party more of a threat than PDP
So this is more than the usual 3rd force we always see",POSITIVO,0.28690476190476194
"Nigeria arise. Vote and vote right.
Your right vote is for Peter Obi/Yusuf Baba Ahemed of Labour Party. 
Vote Peter Obi to salvage the nation from complete collapse.",POSITIVO,0.2238095238095238
Peter Obi will be addressed as Former Presidential candidate of Labour party after the 2023 Election. However Wike will send Obi out of Labour party and contest for President at 2027.,NEUTRAL,0.0
@PDP_NEWMEDIA So how does this concern @OfficialPDPNig when APGA is not their party? Indeed Peter Obi is the prize and y’all leaning on him to trend.,NEUTRAL,0.0
@pman2269 Peter Obi will be addressed as Former Presidential candidate of Labour party after the 2023 Election. However Wike will send Obi out of Labour party and contest for President at 2027.,NEUTRAL,0.0
"Former President Olusegun Obasanjo is “totally” supporting the 2023 campaign of the Labour Party’s (LP) presidential candidate, Peter Obi, according to the organization’s newly appointed Director General (DG), Akin Osuntokun.
 https://t.co/igGLNmeT5B",POSITIVO,0.1090909090909091
"2023 election is going to be like 1979 presidential election in Nigeria.

👉Peter Obi/Labour Party = Azikiwe/NPP

👉Tinubu/APC = Awolowo/UPN 

👉Atiku/PDP = Shagari/NPN

👉Kwankwaso/NNPP = Aminu Kano/PRP

Shagari won the presidential election because he has North in his bag.",NEUTRAL,0.0
"Just imagine (for a brief minute) how things would have been if PDP had nominated Peter Obi as their candidate (&amp; he had a solid party structure behind his campaign).

All that I see now is a man who cannot freely express his thoughts because he does not want to offend NLC/TUC.",NEUTRAL,0.0
"This is her first time to vote. You need to go and get ur collect PVC now.

Courtesy of EBOSUG 🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬

+1 vote for Peter Obi and Eze Oko Splendour 

Vote Labour Party 💚💚💚💚💚💚👨‍👩‍👦 https://t.co/BVtZpPw2p5",POSITIVO,0.25
@jollynony PDAPC manipulating calculations never factored the emergence of Peter Obi from unknown Labour party to upset the balance. They're all in disarray with no ideas of what next to do.,NEGATIVO,-0.05
@DailyPostNGR No sorry time Labour Party Peter Obi Daiti 2023 February I am ready to vote LP that's finial https://t.co/qIGm95vYYP,POSITIVO,0.225
@_tirednigerian @judeoganiru You Peter Obi Labourers Party Him Tu Lie Propagandanists Occultic movement network people are the Delusional and Headless Mob but I assure you all e go clear for una eyes like DStv come February 2023 when Atiku PDP is Coming administration don clear una doubts Mumu people 😂😂😂,POSITIVO,0.10000000000000002
"@SaharaReporters Okowa wetin Dey your brain fit be fishroll or donuts. You are always campaigning for Peter Obi, for ones concentrate on your party leader. You never mention mr blaba blu ba like Peter Obi, because he is higher than all the other candidates",POSITIVO,0.17500000000000002
"Thank God we have a technocrat and dependable hope in the person of Peter Obi. PLS VOTE LABOUR PARTY, FOR A NEW NIGERIA IS POSSIBLE. Go GET UR PVC. 4/4 https://t.co/0fdZ7ezFN6",POSITIVO,0.06818181818181818
@osazenoo Oga Peter obi has never held any elected office under pdp so stop saying nonsense.. can’t imagine 1 blaming Seyi Makinde 4 pdp failures for 16yrs just bcos he is a pdp  governor and lastly most of the corrupt ppl pdp had r all in Apc one is even ur party chairman abi na lie…,NEUTRAL,0.0
"Peter Obi Ended Era Of Godfatherism In Anambra - Bianca Ojukwu (Pics, Video): The wife of late Biafra warlord and former beauty queen, Ambassador Bianca Ojukwu, has described the presidential candidate of the Labour Party, Mr. Peter Obi as the man who… https://t.co/CcLOgW0V8r",NEGATIVO,-0.15
@Qdpaper2 Peter the Pandora Obi of Labour in vain party. Black on black like cult member.,NEGATIVO,-0.16666666666666666
@Topboychriss The G 5 at the end will work for Tinubu because he has mathematical chance of winning the election compared to Peter obi who has nothing to offer for exchange.  As at today Labour party is not a threat .,POSITIVO,0.25
"PDP is finished pata pata. Mark this tweet. PDP is dead. Major stakeholders withdrew support for the party's flagbearer in favour of the party's MAJOR RIVAL. But that's not an issue for the party minions, their headache instead is Peter Obi. Witchcraft!",NEGATIVO,-0.01979166666666667
"The presidential candidate of Labour Party, Peter Obi was present at the ceremony, where award winning writer, Chimamanda Adichie was honoured with a chieftaincy title in her home town.

She was honoured with the title, Odeluwa (She Who Writes For The World) in Abba, Anambra. https://t.co/IzSGDw6w7v",POSITIVO,0.25
@JosephOnuorah @itzz_blitz1 @IkukuomaC @NNpeterobi @Take_back_Naija @ChudeMedia @Nkemchor_ @penisaweapon @omoelerinjare @PeterObi @chude__ If the likes of Peter Obi committed such crime. EFCC would have put him behind bars and disqualify him from running election but APC is a party of kabal,NEGATIVO,-0.2
"I took the message of @PeterObi to the men and women in my village.
They have promised to vote Peter Obi and labor party in the coming election.
I assured them that Labour Party will take care of them and provide good leadership.
This is Amuzu Olokoro in Umuahia Abia state. https://t.co/4H07N5X0qW",POSITIVO,0.7
"2023 election is going to be like 1979 presidential election in Nigeria.

👉Peter Obi/Labour Party = Azikiwe/NPP

👉Tinubu/APC = Awolowo/UPN 

👉Atiku/PDP = Shagari/NPN

👉Kwankwaso/NNPP = Aminu Kano/PRP

Shagari won the presidential election because he has North in his bag.",NEUTRAL,0.0
"@Aconteh6 Peter , Authentic APC members must be allowed to vote where necessary . Bank slip isn't a premium . APC isn't a fake but real political party and every member must do the correct procedure. If that's what you sued the old executive to court for . ATTENTION!",POSITIVO,0.025
Many people have used the labour party but Peter Obi was the only one that got more support so far.,POSITIVO,0.275
"@Topboychriss 2023 election is going to be like 1979 presidential election in Nigeria.

👉Peter Obi/Labour Party = Azikiwe/NPP
👉Tinubu/APC = Awolowo/UPN 
👉Atiku/PDP = Shagari/NPN
👉Kwankwaso/NNPP = Aminu Kano/PRP
Atiku is winning",POSITIVO,0.5
"G5's support or not, the truth is that the political lords in Nigeria are for the first time, SCARED! Peter Obi took Labour Party from obscurity to a the main opposition in 5 months. Damn! That's history. That's class. That's progress.

And congratulations, Chief Chimamanda.",POSITIVO,0.17361111111111108
"Alhamdulillah Musa don reach 31st of December, my Top 4 Peter Obi campaign ideas were free haircuts to usher in the coming of Labour Party, then 1 Man Million March followed by humanitarian assistance of fixing faulty borehole and finally my door-to-door approach. Support Musa https://t.co/4JYuukGZxD",POSITIVO,0.3
@blessed_ogbuehi @renoomokri Don't forget your candidate Peter Obi is also part of parties which started it according to you,NEUTRAL,0.0
"When will Nigeria value us like this you will ask.... It starts with getting your PVC and voting Labour Party for Peter Obi for President, to retire bad governance which is PDP and APC

G5 Obiano Nyesom Wike INEC Obasanjo He's 38",NEGATIVO,-0.6999999999999998
@Odogwu_Nomso @PeterObi Please OBIdient let start another 1million match for Peter Obi in January before the election. It will help to bring up people spirit again and put fear in other party.,NEGATIVO,-0.125
"Chief Chimamanda Ngozi Adichie the Odeluwa 1 of Abba exchanging pleasantries with her very respected elder brother Mr Peter Obi, the Presidential Candidate of the Labour Party LP after her conferment on December 30th, 2022. https://t.co/wpv9rvlZsv",POSITIVO,0.2
@PeterObi Please OBIdient let start another 1million match for Peter Obi in January before the election. It will help to bring up people spirit again and put fear in other party.,NEGATIVO,-0.125
@Nkemchor_ @PeterObi Please OBIdient let start another 1million match for Peter Obi in January before the election. It will help to bring up people spirit again and put fear in other party.,NEGATIVO,-0.125
Me I go vote Obi. Peter Obi. Na you we want o. Vote Labour Party. Vote #PeterObiForPresident2023,NEUTRAL,0.0
"@BTalion001 @VivaRunor @JudeEme25223510 @EliasonFarms @theairbuser @RoyalNicla @VincentOmoko Wike go use Atiku clean floor. 

see as Rivers PDP candidate dey run banner with Peter Obi as his president when his party has presidential candidate oh. hehehehe
wahala be loading",POSITIVO,0.3666666666666667
"There's no way Peter Obi will lose this election.
Even if PDP APC and INEC team up against @NgLabour party, the OBIDIENT will come out victorious with OBID-ATTI as president and VP.",NEUTRAL,0.0
@ObiChimoooo Huncuu stop whinning and queue behind Peter Obi. You people were there when your party ticket was sold to the highest bidder.,NEGATIVO,-0.4
"@nazomIroanyanwu PETER OBI is winning 👏 🙌 👌 LAGOS 

55% or 60% votes 🗳 

Almost everyone collecting PVC in lagos are voting 🗳 LABOUR PARTY/ PETER OBI",POSITIVO,0.5
@SaharaReporters His wife is voting for Peter Obi Labour Party LP,NEUTRAL,0.0
@Peter_POSH @teresadg0 Not going to happen the Labour momentum party believe it belongs to them and the unions and that is why nothing can be changed,NEUTRAL,0.0
Make sure you preach about Peter Obi and Labour Party to the people in the village before  coming back to city https://t.co/HMZ9kOtqfH,POSITIVO,0.25
"Nigeria. Party Politics.

NEWS: Don’t Waste Your Votes, Labour Party Heading Nowhere – Governor Okowa Tells Peter Obi’s Supporters",NEGATIVO,-0.2
"@Obrams Makeup will not change him to young man. If you want to stop complaining about hardship, vote Labour party of Peter Obi.",POSITIVO,0.1
"Peter Obi/ Datti and the Labour Party of Nigeria changed the narratives of what politics is about. Now , there is a new paradigm by which it will be run. Thank you Peter Obi.",POSITIVO,0.13636363636363635
"@SaharaReporters So oga let

So oga Peter , are you  now trying to exonerate your yourself?! That means you're counting yourself out  of the woes  you and your party men (PDP) subjected this country to....You sound soo hypocritical! Pls let shine our eyes and vote wisely...",POSITIVO,0.6
"Na the real pdapc be dis😂😂😂😂, I don't care who the G5 governors support. My friends and families will be voting for peter obi of the labour party
#laughteristhebestmedicine https://t.co/8BxZ3yRQb3",POSITIVO,0.2
"With all honesty, any vote casted for Labor Party is a waste of vote. Deep down we all know Peter Obi can't win this election but we're all blinded by Peter Obi and LP for twitter likes and retweet.

STRONG AGREE ✊

@Mohnice_",POSITIVO,0.17555555555555555
"Peace.
PETER GREGORY OBI and YUSUF DATTI all the way. 
This is a new dawn.
A new Nigeria is possible.
Go out there pick up your PVC don't be left out.
Vote LABOUR PARTY all the way. https://t.co/6yJNAmpVLP",POSITIVO,0.06818181818181818
"Nigerians, use this coming election to  show for once that you cannot be taken for granted and see how the fortune of this country will change.

You have the power.Use it and poverty will flee from your life.

Vote wisely. Vote Peter Obi. Vote labour party.",POSITIVO,0.7
"Atiku in 2019 worked with a Peter Obi who's been out of power for years, relevancy wasn't a thing for their combination 2022, he's running with a sitting governor and they're struggling to be relevant and hold their party together. Obi is a phenomenon that can't be whisked off.",POSITIVO,0.4
"I'm ready for the 2023 elections. 

One sure vote for Labour Party. 

Peter Obi and Eze Oko Splendour https://t.co/0i5lEV9ksQ",POSITIVO,0.35
"NIGERIA 🇳🇬 25 Feb

Africa's largest democracy will elect a president, VP and legislature. President Buhari is ineligible for another term.

All eyes are on populist outsider Peter Obi whose youth support has helped him lead traditional party candidates in a series of polls.",POSITIVO,0.4
"@ChiomaObioha12 @PeterObi Congratulations! 2023 will be the turn of Nigerian youths to smile. 

Go and collect your PVC and massively Vote for Peter Obi of the Labour Party (LP).",POSITIVO,0.15
"@mbkusharki My vote is for peter Obi, if your like , he should raise the de*d, my vote is for labour party",NEUTRAL,0.0
"He was a vice president under PDP and he contested to be president under another party.

What is following Mr. Peter ObiMr. Peter Obi Obi right now is the good Karma he created in the past, that's why millions of Nigerians love him, despite the fact that he doesn't share money.",POSITIVO,0.24714285714285716
"@Topboychriss Dat is why Atiku is angry peter didn't tell him before leaving the party,obi took decision as a man. Let the heavens fall",NEGATIVO,-0.5
@PDP_NEWMEDIA Oye should be bothered why Soludo is  supporting Atiku or doesn't APGA have a presidential candidate?  What is new about PDP media especially with a fraudulent presidential candidate. Please ! Vote Peter Obi for a Nigeria that works for all. Vote Wisely. Vote Labour Party.,POSITIVO,0.2715909090909091
Okowa this is campaign of loser. You have failed to state what you and Atiku is bringing to Nigeria that is new. Peter  OBI and Labour Party has made their case and Nigeria masses bought their submission. Make your case and stop attacking negatively.,NEGATIVO,-0.2212121212121212
Nigerian Engineers Across the World Pulled Together for Peter Obi and the Labour Party By Handel Patrick (Staff https://t.co/gbsHmzMcOY,NEUTRAL,0.0
Please vote for a good man. His name is Peter Obi and he is in the labour party (LP),POSITIVO,0.7
"@VivaRunor, @EliasonFarms 
Obi Pandoras investment is not a stolen money, it's Obi personal money. 

The only option is Peter Obi.
Vote Labour Party",NEUTRAL,0.0
"@AderonkeW Why always Peter Obi, the one from mushroom party.",NEUTRAL,0.0
"Peter Obi, the presidential candidate of the Labour Party, LP, has said that there will be danger if all Nigerians support his presidential bid.

Obi, however, stated that those who led the country toits present economic and socio-economic woes were

https://t.co/eZ04crnKWN https://t.co/6fUR7t8SH0",POSITIVO,0.1
"If Peter wins the election, more people with personal track records will be interested in Nigerian politics, it will take time, but it will create hope.

There will be a massive movement of corrupt individuals to Labour; it will turn the party to business as usual or not.",POSITIVO,0.042857142857142864
"My PVC is only for one man, Peter Obi. After that, I will vote every other Labour party candidate from top to bottom. If e pain you, e sweet me.",POSITIVO,0.18125
"@_dinomelaye You are one of the reasons your party can't win the next election. 
NIGERIANS
Vote LABOUR PARTY.
Vote PETER OBI, 
Vote Ahmed Datti. 
Vote for the libration of NIGERIA https://t.co/5G8euTwat5",POSITIVO,0.4
"Labour Party HOR candidate to represent Lafia Obi Federal Constituency.
Agum Ali Akpandam attends a town hall meeting in Adogi were he met with his supporters in the grassroot. 

Peter Obi is winning Nasarawa state 65% above mark my words.

- Gaza Kure
 #areyouready #tripleA https://t.co/zWDD5jLbSF",POSITIVO,0.25
"@ccta03 Same way Peter Obi picked a senatorial candidate of another party to be his campaign DG, after one PDP ex-convict resigned.",NEUTRAL,0.0
"Prince Arthur Eze, a business mogul from Anambra State has said that he warned Labour Party, LP, presidential candidate, Peter Obi to withdraw from the 2023 presidential race.  

Eze said he does not support Obi’s presidential bid because he has seen

https://t.co/cX6JPdkKsW https://t.co/9LDdUa1eD9",NEUTRAL,0.0
"@PDP_NEWMEDIA We know what Peter Obi did in Anambra.

That APGA existed today is because of Peter Obi.

Labour Party will be in Power in Aso Rock because of the same Peter Obi.

Peter Obi has the power to elevate the lonely to get to the topmost position.

It is POssible with Obi dattis final.",NEGATIVO,-0.024999999999999994
"Benue State Governor, Samuel Ortom has asked God to bless the presidential ambition of Labour Party, LP, candidate, Peter Obi.

He said this while lauding Obi for visiting camps of the Internally Displaced Persons, IDPs, in the State on Christmas day.

https://t.co/jLTYGkp1pz https://t.co/VziEgSuhKJ",NEUTRAL,0.0
@AderonkeW I really feel for you that your future has been stolen the man you support. May the trouble you wish Nigeria in 2023 be your portion in Jesus name. Even your Tinubu who don't know the party he belongs is even Obidient as he already knows Peter Obi has won the election.,NEUTRAL,0.0
"Why some people are against me – Peter Obi
 --------
  The presidential candidate of Labour Party, Mr Peter Obi, has said that there will be danger if everybody begins to support his presidenti...
READ MORE; https://t.co/KCl1E94ETI",POSITIVO,0.5
"@AYOOijiwole @IAOkowa @atiku If your VP nobi mumu, Peter Obi no suppose be him problem. APC de ruin country and useless main opposition party de conspicuously absent. Una party don de reduced to a mere vehicle for achieving the lifelong ambition of una party hopper in chief and regional bigot. Una well done",NEGATIVO,-0.23333333333333334
